  0.5000000000E-01  0.9999157622E+00  0.1774899512E+01  0.9998795017E+00  0.1500091074E+01
  0.1500000000E+00  0.9998315509E+00  0.1774967514E+01  0.9997611700E+00  0.1500174149E+01
  0.2500000000E+00  0.9997327723E+00  0.1775047279E+01  0.9996223745E+00  0.1500271598E+01
  0.3500000000E+00  0.9996169119E+00  0.1775140835E+01  0.9994595853E+00  0.1500385904E+01
  0.4500000000E+00  0.9994810287E+00  0.1775250556E+01  0.9992686744E+00  0.1500519973E+01
  0.5500000000E+00  0.9993216790E+00  0.1775379222E+01  0.9990448096E+00  0.1500677205E+01
  0.6500000000E+00  0.9991348323E+00  0.1775530086E+01  0.9987823365E+00  0.1500861583E+01
  0.7500000000E+00  0.9989157748E+00  0.1775706950E+01  0.9984746445E+00  0.1501077765E+01
  0.8500000000E+00  0.9986589951E+00  0.1775914261E+01  0.9981140077E+00  0.1501331203E+01
  0.9500000000E+00  0.9983580554E+00  0.1776157212E+01  0.9976914054E+00  0.1501628262E+01
  0.1050000000E+01  0.9980054406E+00  0.1776441864E+01  0.9971963129E+00  0.1501976382E+01
  0.1150000000E+01  0.9975923864E+00  0.1776775281E+01  0.9966164641E+00  0.1502384243E+01
  0.1250000000E+01  0.9971086815E+00  0.1777165695E+01  0.9959375784E+00  0.1502861963E+01
  0.1350000000E+01  0.9965424467E+00  0.1777622677E+01  0.9951430568E+00  0.1503421326E+01
  0.1450000000E+01  0.9958798772E+00  0.1778157347E+01  0.9942136296E+00  0.1504076040E+01
  0.1550000000E+01  0.9951049648E+00  0.1778782593E+01  0.9931269789E+00  0.1504842020E+01
  0.1650000000E+01  0.9941991772E+00  0.1779513328E+01  0.9918573043E+00  0.1505737716E+01
  0.1750000000E+01  0.9931411163E+00  0.1780366762E+01  0.9903748659E+00  0.1506784472E+01
  0.1850000000E+01  0.9919061380E+00  0.1781362703E+01  0.9886454806E+00  0.1508006916E+01
  0.1950000000E+01  0.9904659570E+00  0.1782523871E+01  0.9866300068E+00  0.1509433392E+01
  0.2050000000E+01  0.9887882251E+00  0.1783876228E+01  0.9842838056E+00  0.1511096409E+01
  0.2150000000E+01  0.9868361177E+00  0.1785449305E+01  0.9815562280E+00  0.1513033111E+01
  0.2250000000E+01  0.9845679292E+00  0.1787276515E+01  0.9783901377E+00  0.1515285754E+01
  0.2350000000E+01  0.9819367098E+00  0.1789395439E+01  0.9747215150E+00  0.1517902164E+01
  0.2450000000E+01  0.9788899922E+00  0.1791848032E+01  0.9704792178E+00  0.1520936143E+01
  0.2550000000E+01  0.9753696309E+00  0.1794680747E+01  0.9655849380E+00  0.1524447805E+01
  0.2650000000E+01  0.9713118335E+00  0.1797944505E+01  0.9599534659E+00  0.1528503770E+01
  0.2750000000E+01  0.9666474409E+00  0.1801694480E+01  0.9534933477E+00  0.1533177190E+01
  0.2850000000E+01  0.9613025392E+00  0.1805989626E+01  0.9461080530E+00  0.1538547499E+01
  0.2950000000E+01  0.9551994987E+00  0.1810891890E+01  0.9376977768E+00  0.1544699855E+01
  0.3050000000E+01  0.9482585191E+00  0.1816465050E+01  0.9281619770E+00  0.1551724147E+01
  0.3150000000E+01  0.9403997674E+00  0.1822773123E+01  0.9174027423E+00  0.1559713525E+01
  0.3250000000E+01  0.9315461709E+00  0.1829878299E+01  0.9053290392E+00  0.1568762344E+01
  0.3350000000E+01  0.9216269006E+00  0.1837838385E+01  0.8918618330E+00  0.1578963468E+01
  0.3450000000E+01  0.9105815062E+00  0.1846703787E+01  0.8769399569E+00  0.1590404901E+01
  0.3550000000E+01  0.8983646020E+00  0.1856514102E+01  0.8605265027E+00  0.1603165746E+01
  0.3650000000E+01  0.8849509197E+00  0.1867294434E+01  0.8426153830E+00  0.1617311541E+01
  0.3750000000E+01  0.8703403969E+00  0.1879051662E+01  0.8232375155E+00  0.1632889126E+01
  0.3850000000E+01  0.8545629139E+00  0.1891770890E+01  0.8024660288E+00  0.1649921239E+01
  0.3950000000E+01  0.8376821474E+00  0.1905412433E+01  0.7804197368E+00  0.1668401166E+01
  0.4050000000E+01  0.8197980054E+00  0.1919909667E+01  0.7572641968E+00  0.1688287847E+01
  0.4150000000E+01  0.8010470889E+00  0.1935168113E+01  0.7332097390E+00  0.1709501917E+01
  0.4250000000E+01  0.7816008939E+00  0.1951065808E+01  0.7085063326E+00  0.1731922905E+01
  0.4350000000E+01  0.7616630146E+00  0.1967452270E+01  0.6834375362E+00  0.1755384290E+01
  0.4450000000E+01  0.7414851271E+00  0.1984106803E+01  0.6583433878E+00  0.1779614811E+01
  0.4550000000E+01  0.7216801883E+00  0.2000085051E+01  0.6340868739E+00  0.1803360098E+01
  0.4650000000E+01  0.7078473544E+00  0.2003954462E+01  0.6190362948E+00  0.1811071435E+01
  0.4750000000E+01  0.7559301857E+00  0.1881246478E+01  0.7020658041E+00  0.1649808800E+01
  0.4850000000E+01  0.1011202432E+01  0.1446508637E+01  0.1131484269E+01  0.1155717810E+01
  0.4950000000E+01  0.1357088288E+01  0.1047873650E+01  0.1726133337E+01  0.7852569395E+00
  0.5050000000E+01  0.1557463014E+01  0.8667707156E+00  0.2076914353E+01  0.6343658410E+00
  0.5150000000E+01  0.1636466980E+01  0.7963295109E+00  0.2217510820E+01  0.5781619974E+00
  0.5250000000E+01  0.1668913670E+01  0.7624869711E+00  0.2276615502E+01  0.5517476611E+00
  0.5350000000E+01  0.1686987377E+01  0.7399550396E+00  0.2310350213E+01  0.5343899999E+00
