  0.5000000000E-01  0.9997234592E+00  0.1775123688E+01  0.9996128860E+00  0.1500336312E+01
  0.1500000000E+00  0.9996063215E+00  0.1775230081E+01  0.9994489285E+00  0.1500461389E+01
  0.2500000000E+00  0.9994690576E+00  0.1775354721E+01  0.9992568128E+00  0.1500607938E+01
  0.3500000000E+00  0.9993082443E+00  0.1775500700E+01  0.9990317543E+00  0.1500779604E+01
  0.4500000000E+00  0.9991198907E+00  0.1775671617E+01  0.9987681765E+00  0.1500980636E+01
  0.5500000000E+00  0.9988993459E+00  0.1775871665E+01  0.9984595831E+00  0.1501215983E+01
  0.6500000000E+00  0.9986411953E+00  0.1776105714E+01  0.9980984143E+00  0.1501491402E+01
  0.7500000000E+00  0.9983391435E+00  0.1776379422E+01  0.9976758851E+00  0.1501813583E+01
  0.8500000000E+00  0.9979858800E+00  0.1776699343E+01  0.9971817998E+00  0.1502190290E+01
  0.9500000000E+00  0.9975729290E+00  0.1777073061E+01  0.9966043457E+00  0.1502630518E+01
  0.1050000000E+01  0.9970904799E+00  0.1777509336E+01  0.9959298607E+00  0.1503144667E+01
  0.1150000000E+01  0.9965271988E+00  0.1778018260E+01  0.9951425771E+00  0.1503744747E+01
  0.1250000000E+01  0.9958700204E+00  0.1778611431E+01  0.9942243379E+00  0.1504444585E+01
  0.1350000000E+01  0.9951039205E+00  0.1779302145E+01  0.9931542918E+00  0.1505260070E+01
  0.1450000000E+01  0.9942116674E+00  0.1780105593E+01  0.9919085607E+00  0.1506209406E+01
  0.1550000000E+01  0.9931735613E+00  0.1781039069E+01  0.9904598955E+00  0.1507313385E+01
  0.1650000000E+01  0.9919671544E+00  0.1782122189E+01  0.9887773126E+00  0.1508595679E+01
  0.1750000000E+01  0.9905669695E+00  0.1783377102E+01  0.9868257347E+00  0.1510083131E+01
  0.1850000000E+01  0.9889442131E+00  0.1784828697E+01  0.9845656358E+00  0.1511806061E+01
  0.1950000000E+01  0.9870665047E+00  0.1786504782E+01  0.9819527198E+00  0.1513798546E+01
  0.2050000000E+01  0.9848976260E+00  0.1788436243E+01  0.9789376436E+00  0.1516098700E+01
  0.2150000000E+01  0.9823973193E+00  0.1790657141E+01  0.9754658265E+00  0.1518748898E+01
  0.2250000000E+01  0.9795211504E+00  0.1793204738E+01  0.9714773710E+00  0.1521795952E+01
  0.2350000000E+01  0.9762204672E+00  0.1796119436E+01  0.9669071418E+00  0.1525291201E+01
  0.2450000000E+01  0.9724424969E+00  0.1799444577E+01  0.9616850644E+00  0.1529290484E+01
  0.2550000000E+01  0.9681306152E+00  0.1803226083E+01  0.9557366902E+00  0.1533853955E+01
  0.2650000000E+01  0.9632248494E+00  0.1807511894E+01  0.9489841147E+00  0.1539045692E+01
  0.2750000000E+01  0.9576626780E+00  0.1812351133E+01  0.9413473269E+00  0.1544933037E+01
  0.2850000000E+01  0.9513802078E+00  0.1817792939E+01  0.9327460949E+00  0.1551585566E+01
  0.2950000000E+01  0.9443138374E+00  0.1823884867E+01  0.9231025157E+00  0.1559073579E+01
  0.3050000000E+01  0.9364025464E+00  0.1830670693E+01  0.9123443888E+00  0.1567465900E+01
  0.3150000000E+01  0.9275910182E+00  0.1838187398E+01  0.9004096482E+00  0.1576826696E+01
  0.3250000000E+01  0.9178339209E+00  0.1846460901E+01  0.8872522160E+00  0.1587210778E+01
  0.3350000000E+01  0.9071018902E+00  0.1855499818E+01  0.8728498891E+00  0.1598656485E+01
  0.3450000000E+01  0.8953901524E+00  0.1865285877E+01  0.8572153363E+00  0.1611174482E+01
  0.3550000000E+01  0.8827314975E+00  0.1875758485E+01  0.8404121964E+00  0.1624729404E+01
  0.3650000000E+01  0.8692167380E+00  0.1886788685E+01  0.8225799978E+00  0.1639208560E+01
  0.3750000000E+01  0.8550283759E+00  0.1898133553E+01  0.8039748328E+00  0.1654366721E+01
  0.3850000000E+01  0.8404978106E+00  0.1909354361E+01  0.7850387215E+00  0.1669726246E+01
  0.3950000000E+01  0.8262038424E+00  0.1919668215E+01  0.7665211672E+00  0.1684393998E+01
  0.4050000000E+01  0.8131403059E+00  0.1927681704E+01  0.7496939108E+00  0.1696727349E+01
  0.4150000000E+01  0.8029876242E+00  0.1930932422E+01  0.7367238752E+00  0.1703747026E+01
  0.4250000000E+01  0.7985051327E+00  0.1925179483E+01  0.7312855544E+00  0.1700209997E+01
  0.4350000000E+01  0.8039654633E+00  0.1903572660E+01  0.7394417610E+00  0.1677537163E+01
  0.4450000000E+01  0.8253131053E+00  0.1856456365E+01  0.7705358010E+00  0.1623804302E+01
  0.4550000000E+01  0.8694029924E+00  0.1773578663E+01  0.8370804946E+00  0.1527613162E+01
  0.4650000000E+01  0.9416657035E+00  0.1650103891E+01  0.9516716384E+00  0.1387241536E+01
  0.4750000000E+01  0.1042467129E+01  0.1493372845E+01  0.1119757736E+01  0.1217792741E+01
  0.4850000000E+01  0.1164206710E+01  0.1322940729E+01  0.1331718211E+01  0.1045406627E+01
  0.4950000000E+01  0.1292178942E+01  0.1161760322E+01  0.1562071381E+01  0.8930245823E+00
  0.5050000000E+01  0.1410107966E+01  0.1026118482E+01  0.1779530129E+01  0.7719816947E+00
  0.5150000000E+01  0.1506840271E+01  0.9217188239E+00  0.1960962658E+01  0.6828626933E+00
  0.5250000000E+01  0.1579248722E+01  0.8459659566E+00  0.2098396761E+01  0.6202550831E+00
  0.5350000000E+01  0.1630331954E+01  0.7924636652E+00  0.2196165615E+01  0.5770597954E+00
